sequence_id,material,iso_label,iso_score,mahal_label,mahal_score
material_0700000_position_1_sensor_1,Plastic_Rubber,1,0.079975,1,-9.858295
material_0700000_position_1_sensor_2,Plastic_Rubber,1,0.108333,1,-18.901982
material_0700000_position_1_sensor_3,Plastic_Rubber,1,0.131546,1,-7.762463
material_0700000_position_2_sensor_1,Plastic_Rubber,1,0.125634,1,-9.155738
material_0700000_position_2_sensor_2,Plastic_Rubber,1,0.139038,1,-6.599484
material_0700000_position_2_sensor_3,Plastic_Rubber,-1,-0.010412,-1,-61.324217
material_0700000_position_3_sensor_1,Plastic_Rubber,1,0.133183,1,-8.280239
material_0700000_position_3_sensor_2,Plastic_Rubber,1,0.127038,1,-9.370399
material_0700000_position_3_sensor_3,Plastic_Rubber,1,0.135014,1,-6.142677
material_0700000_position_4_sensor_1,Plastic_Rubber,1,0.117986,1,-9.572145
material_0700000_position_4_sensor_2,Plastic_Rubber,1,0.123462,1,-8.665362
material_0700000_position_4_sensor_3,Plastic_Rubber,1,0.140587,1,-7.342153
material_0700010_position_1_sensor_1,Plastic_Rubber,1,0.098995,1,-10.864603
material_0700010_position_1_sensor_2,Plastic_Rubber,1,0.134051,1,-6.85816
material_0700010_position_1_sensor_3,Plastic_Rubber,1,0.123006,1,-10.65886
material_0700010_position_2_sensor_1,Plastic_Rubber,1,0.085964,1,-23.23554
material_0700010_position_2_sensor_2,Plastic_Rubber,1,0.105912,1,-12.002055
material_0700010_position_2_sensor_3,Plastic_Rubber,1,0.109616,1,-14.988795
material_0700010_position_3_sensor_1,Plastic_Rubber,1,0.120132,1,-14.453593
material_0700010_position_3_sensor_2,Plastic_Rubber,1,0.098777,1,-21.583227
material_0700010_position_3_sensor_3,Plastic_Rubber,1,0.138167,1,-10.501131
material_0700010_position_4_sensor_1,Plastic_Rubber,1,0.121699,1,-15.421041
material_0700010_position_4_sensor_2,Plastic_Rubber,1,0.11882,1,-11.124912
material_0700010_position_4_sensor_3,Plastic_Rubber,1,0.133775,1,-10.385853
material_0700030_position_1_sensor_1,Plastic_Rubber,1,0.068754,1,-29.724235
material_0700030_position_1_sensor_2,Plastic_Rubber,-1,-0.002939,-1,-100.636859
material_0700030_position_1_sensor_3,Plastic_Rubber,1,0.110292,1,-14.760236
material_0700030_position_2_sensor_1,Plastic_Rubber,1,0.095698,1,-16.588736
material_0700030_position_2_sensor_2,Plastic_Rubber,1,0.098036,1,-19.709769
material_0700030_position_2_sensor_3,Plastic_Rubber,1,0.097899,1,-24.072673
material_0700030_position_3_sensor_1,Plastic_Rubber,1,0.10277,1,-16.195611
material_0700030_position_3_sensor_2,Plastic_Rubber,1,0.118759,1,-15.935637
material_0700030_position_3_sensor_3,Plastic_Rubber,1,0.11058,1,-15.681845
material_0700030_position_4_sensor_1,Plastic_Rubber,1,0.095854,1,-17.429322
material_0700030_position_4_sensor_2,Plastic_Rubber,1,0.097747,1,-19.271802
material_0700030_position_4_sensor_3,Plastic_Rubber,1,0.116165,1,-13.677768
material_0700050_position_1_sensor_1,Plastic_Rubber,1,0.052122,1,-16.959591
material_0700050_position_1_sensor_2,Plastic_Rubber,1,0.086423,1,-16.843152
material_0700050_position_1_sensor_3,Plastic_Rubber,1,0.041268,1,-31.81585
material_0700050_position_2_sensor_1,Plastic_Rubber,1,0.033687,-1,-54.397939
material_0700050_position_2_sensor_2,Plastic_Rubber,1,0.046565,1,-38.468247
material_0700050_position_2_sensor_3,Plastic_Rubber,1,0.061936,1,-25.319623
material_0700050_position_3_sensor_1,Plastic_Rubber,1,0.05996,1,-25.936216
material_0700050_position_3_sensor_2,Plastic_Rubber,1,0.064154,1,-36.446248
material_0700050_position_3_sensor_3,Plastic_Rubber,1,0.084804,1,-21.446294
material_0700050_position_4_sensor_1,Plastic_Rubber,1,0.079777,1,-15.609847
material_0700050_position_4_sensor_2,Plastic_Rubber,-1,-0.039649,-1,-248.217609
material_0700050_position_4_sensor_3,Plastic_Rubber,-1,-0.035706,-1,-155.982597
material_0700050_position_5_sensor_1,Plastic_Rubber,1,0.063435,1,-34.828209
material_0700050_position_5_sensor_2,Plastic_Rubber,1,0.072722,1,-38.880949
material_0700050_position_5_sensor_3,Plastic_Rubber,1,0.066575,1,-23.039606
material_0700060_position_1_sensor_1,Plastic_Rubber,1,0.089551,1,-15.675323
material_0700060_position_1_sensor_2,Plastic_Rubber,1,0.128523,1,-9.550239
material_0700060_position_1_sensor_3,Plastic_Rubber,1,0.144935,1,-8.799227
material_0700060_position_2_sensor_1,Plastic_Rubber,1,0.112198,1,-20.023042
