sequence_id,material,quality_score,snr,drift_slope,saturation_ratio,force_anomaly_ratio,spc_out_of_control_ratio
material_0700000_position_1_sensor_1,Plastic_Rubber,58.5168,16.870066136696373,0.104812705844053,0.0,0.058823529411764705,0.058823529411764705
material_0700000_position_1_sensor_2,Plastic_Rubber,81.0993,21.91377479358121,-0.02274384063521278,0.0,0.0,0.0
material_0700000_position_1_sensor_3,Plastic_Rubber,63.9382,17.520224329767352,-0.024154395807805103,0.0,0.0,0.0625
material_0700000_position_2_sensor_1,Plastic_Rubber,58.9597,18.071267998745714,-0.039683135786866656,0.0,0.0625,0.0625
material_0700000_position_2_sensor_2,Plastic_Rubber,64.8922,20.91059783205435,-0.06798863868464403,0.0,0.0,0.0625
material_0700000_position_2_sensor_3,Plastic_Rubber,78.6559,16.584438584222244,-0.013248562282988085,0.0,0.0,0.0
material_0700000_position_3_sensor_1,Plastic_Rubber,54.742,18.864155953805543,-0.014732493681067221,0.0,0.125,0.0625
material_0700000_position_3_sensor_2,Plastic_Rubber,75.6656,22.080753706511494,-0.05515763665492599,0.0,0.0625,0.0
material_0700000_position_3_sensor_3,Plastic_Rubber,54.3294,17.72190095235186,-0.0057085040722019255,0.0,0.125,0.0625
material_0700000_position_4_sensor_1,Plastic_Rubber,54.6881,18.687917131263422,0.012730352264603994,0.0,0.125,0.0625
material_0700000_position_4_sensor_2,Plastic_Rubber,70.7116,21.781585387762647,-0.04309748231975226,0.0,0.125,0.0
material_0700000_position_4_sensor_3,Plastic_Rubber,54.0306,17.339165900175757,0.012787546594156865,0.0,0.125,0.0625
material_0700010_position_1_sensor_1,Plastic_Rubber,78.9733,17.960728480179586,0.035442524828943646,0.0,0.0,0.0
material_0700010_position_1_sensor_2,Plastic_Rubber,59.8849,20.437894153905365,0.05396284754136089,0.0,0.0625,0.0625
material_0700010_position_1_sensor_3,Plastic_Rubber,61.0843,15.646882240251575,0.14639713062959311,0.0,0.0,0.0625
material_0700010_position_2_sensor_1,Plastic_Rubber,79.5849,18.78218103009344,-0.022112381280641157,0.0,0.0,0.0
material_0700010_position_2_sensor_2,Plastic_Rubber,60.1927,21.69846329608434,-0.07321514214409883,0.0,0.0625,0.0625
material_0700010_position_2_sensor_3,Plastic_Rubber,75.1294,16.74382292888218,-0.24012229690053102,0.0,0.0,0.0
material_0700010_position_3_sensor_1,Plastic_Rubber,57.4621,18.028102462266016,0.13263283962673497,0.0,0.0625,0.0625
material_0700010_position_3_sensor_2,Plastic_Rubber,79.8709,20.242872206833546,0.04886613913143289,0.0,0.0,0.0
material_0700010_position_3_sensor_3,Plastic_Rubber,61.33,15.585492813789694,0.12905051317401792,0.0,0.0,0.0625
material_0700010_position_4_sensor_1,Plastic_Rubber,57.5348,17.947244227624548,0.1255779542611308,0.0,0.0625,0.0625
material_0700010_position_4_sensor_2,Plastic_Rubber,59.8862,20.0057438376176,0.0406358730341087,0.0,0.0625,0.0625
material_0700010_position_4_sensor_3,Plastic_Rubber,55.4193,15.406672260070998,0.1809001081878043,0.0,0.0625,0.0625
material_0700030_position_1_sensor_1,Plastic_Rubber,75.3761,18.33241078788789,0.27326873021343867,0.0,0.0,0.0
material_0700030_position_1_sensor_2,Plastic_Rubber,57.2586,15.723430134917209,0.3895694635927272,0.0,0.0,0.0625
material_0700030_position_1_sensor_3,Plastic_Rubber,57.3852,14.67669894247129,0.034783059512866976,0.0,0.0625,0.0625
material_0700030_position_2_sensor_1,Plastic_Rubber,56.4551,22.187989898349567,-0.008749085669426369,0.0,0.125,0.0625
material_0700030_position_2_sensor_2,Plastic_Rubber,60.7562,22.21233879150835,0.05348424734477028,0.0,0.0625,0.0625
material_0700030_position_2_sensor_3,Plastic_Rubber,80.534,20.536694825219215,0.016128853592216663,0.0,0.0,0.0
material_0700030_position_3_sensor_1,Plastic_Rubber,64.6333,21.201817293623183,0.09320816419015233,0.0,0.0,0.0625
material_0700030_position_3_sensor_2,Plastic_Rubber,64.268,21.748173671654282,0.13294565238204767,0.0,0.0,0.0625
material_0700030_position_3_sensor_3,Plastic_Rubber,59.4686,19.743075355634712,0.058875757952920264,0.0,0.0625,0.0625
material_0700030_position_4_sensor_1,Plastic_Rubber,80.5369,21.716419939736333,0.05209626480800347,0.0,0.0,0.0
material_0700030_position_4_sensor_2,Plastic_Rubber,61.0794,22.56108356955973,0.04382942070057242,0.0,0.0625,0.0625
material_0700030_position_4_sensor_3,Plastic_Rubber,65.641,20.66944180804251,-0.01346129972171357,0.0,0.0,0.0625
material_0700050_position_1_sensor_1,Plastic_Rubber,60.1351,17.653733796506916,0.02695720198887011,0.0,0.058823529411764705,0.058823529411764705
material_0700050_position_1_sensor_2,Plastic_Rubber,80.3092,19.840481343790806,0.008944211473650076,0.0,0.0,0.0
material_0700050_position_1_sensor_3,Plastic_Rubber,76.6481,17.36561746013826,0.16357157788245244,0.0,0.0,0.0
material_0700050_position_2_sensor_1,Plastic_Rubber,63.1135,15.573833028938793,0.016423769084453334,0.0,0.0,0.0625
material_0700050_position_2_sensor_2,Plastic_Rubber,49.0117,12.712546996446395,0.5016975033828608,0.0,0.0625,0.0625
material_0700050_position_2_sensor_3,Plastic_Rubber,60.0978,20.131358128505447,0.03116657252093454,0.0,0.0625,0.0625
material_0700050_position_3_sensor_1,Plastic_Rubber,61.0723,21.93759176076524,0.0251730302798221,0.0,0.0625,0.0625
material_0700050_position_3_sensor_2,Plastic_Rubber,61.3398,22.08626525664649,-0.012888667087932631,0.0,0.0625,0.0625
material_0700050_position_3_sensor_3,Plastic_Rubber,74.9588,20.233914863321942,0.04305802089716144,0.0,0.0625,0.0
material_0700050_position_4_sensor_1,Plastic_Rubber,45.1062,13.250999838357396,0.7640389476102922,0.0,0.0625,0.0625
material_0700050_position_4_sensor_2,Plastic_Rubber,65.362,19.91444842394693,0.007891116472629255,0.0,0.0,0.0625
material_0700050_position_4_sensor_3,Plastic_Rubber,61.5971,17.446231557401507,0.16925191801981004,0.0,0.0,0.0625
material_0700050_position_5_sensor_1,Plastic_Rubber,80.9714,21.844526976148344,0.02867000485089734,0.0,0.0,0.0
material_0700050_position_5_sensor_2,Plastic_Rubber,59.6864,18.00415549932496,0.30662433778849996,0.0,0.0,0.0625
material_0700050_position_5_sensor_3,Plastic_Rubber,59.8027,19.944180389958042,0.04401018688724927,0.0,0.0625,0.0625
material_0700060_position_1_sensor_1,Plastic_Rubber,64.6367,18.09347891328196,-0.05329085871545232,0.0,0.0,0.058823529411764705
material_0700060_position_1_sensor_2,Plastic_Rubber,65.3336,21.38539944620865,-0.05474972873264045,0.0,0.0,0.0625
material_0700060_position_1_sensor_3,Plastic_Rubber,77.1767,16.72976003368792,-0.11081753919015667,0.0,0.0,0.0
material_0700060_position_2_sensor_1,Plastic_Rubber,78.9291,19.07813273869096,-0.07246535437091582,0.0,0.0,0.0
material_0700060_position_2_sensor_2,Plastic_Rubber,77.4314,19.353337994825132,0.1751717377706285,0.0,0.0,0.0
material_0700060_position_2_sensor_3,Plastic_Rubber,77.4048,16.97042248676904,-0.10382864519505804,0.0,0.0,0.0
material_0700060_position_3_sensor_1,Plastic_Rubber,76.5182,18.635007637029563,-0.21064711467269337,0.0,0.0,0.0
material_0700060_position_3_sensor_2,Plastic_Rubber,77.5944,21.1930499751158,-0.22128742532169104,0.0,0.0,0.0
material_0700060_position_3_sensor_3,Plastic_Rubber,53.0953,16.232223849174904,-0.35248948440053046,0.0,0.0625,0.0625
material_0700060_position_4_sensor_1,Plastic_Rubber,55.2399,18.38934978380204,-0.28358810285181857,0.0,0.0625,0.0625
material_0700060_position_4_sensor_2,Plastic_Rubber,56.825,8.763147086870651,-0.2035835838567191,0.0,0.0,0.0625
material_0700060_position_4_sensor_3,Plastic_Rubber,51.2789,11.670986079818919,-0.32706596903084406,0.0,0.0625,0.0625
material_0700070_position_1_sensor_1,Plastic_Rubber,65.3387,17.926519350786315,0.0039850824227238195,0.0,0.0,0.058823529411764705
material_0700070_position_1_sensor_2,Plastic_Rubber,63.6333,16.449998040934467,0.010555044934641154,0.0,0.0,0.0625
material_0700070_position_1_sensor_3,Plastic_Rubber,100.0,60.0,0.0,0.0,,
material_0700070_position_2_sensor_1,Plastic_Rubber,61.8563,16.246007560997946,-0.17170217875562038,0.0,0.0,0.058823529411764705
material_0700070_position_2_sensor_2,Plastic_Rubber,59.1261,18.690097722577264,0.36291580180249083,0.0,0.0,0.0625
material_0700070_position_2_sensor_3,Plastic_Rubber,62.8122,17.360765072797953,-0.09014872153288443,0.0,0.0,0.0625
material_0700070_position_3_sensor_1,Plastic_Rubber,77.5567,17.852740349334052,0.12130541832618409,0.0,0.0,0.0
material_0700070_position_3_sensor_2,Plastic_Rubber,59.9731,20.869889069718273,0.061648557176775226,0.0,0.0625,0.0625
material_0700070_position_3_sensor_3,Plastic_Rubber,52.5853,9.425287949299465,0.17601269052542898,0.0,0.0625,0.0625
material_0700070_position_4_sensor_1,Plastic_Rubber,39.1803,11.185057816676613,0.759019891876021,0.0,0.125,0.0625
material_0700070_position_4_sensor_2,Plastic_Rubber,59.4334,20.42825727632668,0.08209131816789134,0.0,0.0625,0.0625
material_0700070_position_4_sensor_3,Plastic_Rubber,76.7281,17.41091692156792,0.15992681685304272,0.0,0.0,0.0
material_0700070_position_5_sensor_1,Plastic_Rubber,78.7177,19.313360315344767,0.09297970281862547,0.0,0.0,0.0
material_0700070_position_5_sensor_2,Plastic_Rubber,66.2003,22.317736847974118,-0.028759116179023696,0.0,0.0,0.0625
material_0700070_position_5_sensor_3,Plastic_Rubber,79.8053,20.549097741118057,0.0623801556755487,0.0,0.0,0.0
material_0700070_position_6_sensor_1,Plastic_Rubber,70.3062,13.443310971882418,0.12786122440512496,0.0,0.0625,0.0
material_0700070_position_6_sensor_2,Plastic_Rubber,60.6978,21.762569516610863,-0.043380012063420494,0.0,0.0625,0.0625
material_0700070_position_6_sensor_3,Plastic_Rubber,60.1297,20.258393625495636,0.03305119134242239,0.0,0.0625,0.0625
material_0700070_position_7_sensor_1,Plastic_Rubber,59.6742,19.231527766053592,0.030261123557492525,0.0,0.0625,0.0625
material_0700070_position_7_sensor_2,Plastic_Rubber,80.8207,21.81975240876367,-0.037396650326798384,0.0,0.0,0.0
material_0700070_position_7_sensor_3,Plastic_Rubber,58.922,19.844800266479986,0.09639947789011391,0.0,0.0625,0.0625
material_0700080_position_1_sensor_1,Plastic_Rubber,57.1332,15.1598808321842,0.06544855813418946,0.0,0.0625,0.0625
